;tr0
a12;19.02.2016 8:07
a13;19.02.2016 8:49
a14;19.02.2016 9:11
a15;19.02.2016 9:53
a16;19.02.2016 10:09
a17;19.02.2016 10:41
a18;19.02.2016 11:29
a19;19.02.2016 11:56
a20;19.02.2016 12:44
a21;19.02.2016 13:43
a22;19.02.2016 14:15
a23;19.02.2016 14:31
a24;19.02.2016 15:13
a25;19.02.2016 15:40
a26;19.02.2016 16:17
a27;19.02.2016 16:38
a28;19.02.2016 16:54
a29;19.02.2016 17:37
a30;19.02.2016 18:36
a31;19.02.2016 19:24
a32;19.02.2016 19:56
a33;19.02.2016 20:17
a34;19.02.2016 21:21
a35;19.02.2016 21:53
a36;19.02.2016 22:25
a37;19.02.2016 23:18
a38;20.02.2016 0:01
a39;20.02.2016 0:59
a40;20.02.2016 1:21
d0;20.02.2016 2:03
d1;20.02.2016 2:25
d2;20.02.2016 3:02
d3;20.02.2016 4:01
d4;20.02.2016 4:54
d5;20.02.2016 5:42
d6;20.02.2016 6:25
d7;20.02.2016 7:07
d8;20.02.2016 7:39
d9;20.02.2016 8:17
d10;20.02.2016 9:15
d11;20.02.2016 9:36
d12;20.02.2016 9:58
d13;20.02.2016 10:35
d14;20.02.2016 11:07
;
;
;tr117
a0;18.02.2016 21:38
a1;18.02.2016 22:10
a2;18.02.2016 22:58
a3;19.02.2016 0:02
a4;19.02.2016 0:23
a5;19.02.2016 1:22
a6;19.02.2016 1:54
a7;19.02.2016 2:42
a8;19.02.2016 3:14
a9;19.02.2016 4:12
a10;19.02.2016 5:16
a11;19.02.2016 5:43
a12;19.02.2016 6:20
a13;19.02.2016 7:03
a14;19.02.2016 7:24
a15;19.02.2016 8:07
a16;19.02.2016 8:23
a17;19.02.2016 8:55
a18;19.02.2016 9:43
a19;19.02.2016 10:09
a20;19.02.2016 10:57
a21;19.02.2016 11:56
a22;19.02.2016 12:28
a23;19.02.2016 12:44
a24;19.02.2016 13:27
a25;19.02.2016 13:53
a26;19.02.2016 14:31
a27;19.02.2016 14:52
a28;19.02.2016 15:08
a29;19.02.2016 15:50
a30;19.02.2016 16:49
a31;19.02.2016 17:37
a32;19.02.2016 18:09
a33;19.02.2016 18:30
a34;19.02.2016 19:34
a35;19.02.2016 20:06
a36;19.02.2016 20:38
a37;19.02.2016 21:32
a38;19.02.2016 22:14
a39;19.02.2016 23:13
a40;19.02.2016 23:34
a41;19.02.2016 23:56
a42;20.02.2016 0:59
a43;20.02.2016 1:47
a44;20.02.2016 2:03
a45;20.02.2016 3:02
a46;20.02.2016 3:55
a47;20.02.2016 4:33
a48;20.02.2016 5:21
a49;20.02.2016 5:47
a50;20.02.2016 6:46
a51;20.02.2016 7:18
a52;20.02.2016 7:45
a53;20.02.2016 8:01
a54;20.02.2016 8:22
a55;20.02.2016 9:15
a56;20.02.2016 9:47
a57;20.02.2016 10:46
a58;20.02.2016 11:50
a59;20.02.2016 12:38
a60;20.02.2016 13:31
e0;20.02.2016 14:03
e1;20.02.2016 15:07
e2;20.02.2016 15:39
e3;20.02.2016 16:22
e4;20.02.2016 16:48
e5;20.02.2016 17:52
e6;20.02.2016 18:08
e7;20.02.2016 18:56
e8;20.02.2016 19:55
e9;20.02.2016 20:16
;
;
;tr118
b10;19.02.2016 4:44
b9;19.02.2016 5:27
b8;19.02.2016 6:10
b7;19.02.2016 7:08
b6;19.02.2016 7:35
b5;19.02.2016 8:01
b4;19.02.2016 9:05
b3;19.02.2016 9:59
b2;19.02.2016 10:36
b1;19.02.2016 10:57
b0;19.02.2016 11:51
a10;19.02.2016 12:49
