;tr0
a0;18.02.2016 22:58
a1;18.02.2016 23:30
a2;19.02.2016 0:18
a3;19.02.2016 1:22
a4;19.02.2016 1:43
a5;19.02.2016 2:42
a6;19.02.2016 3:14
a7;19.02.2016 4:02
a8;19.02.2016 4:34
a9;19.02.2016 5:32
a10;19.02.2016 6:36
a11;19.02.2016 7:03
a12;19.02.2016 7:40
a13;19.02.2016 8:23
a14;19.02.2016 8:44
a15;19.02.2016 9:27
a16;19.02.2016 9:43
a17;19.02.2016 10:15
a18;19.02.2016 11:03
a19;19.02.2016 11:29
a20;19.02.2016 12:17
a21;19.02.2016 13:16
a22;19.02.2016 13:48
a23;19.02.2016 14:04
a24;19.02.2016 14:47
a25;19.02.2016 15:13
a26;19.02.2016 15:50
a27;19.02.2016 16:12
a28;19.02.2016 16:28
a29;19.02.2016 17:10
a30;19.02.2016 18:09
a31;19.02.2016 18:57
a32;19.02.2016 19:29
a33;19.02.2016 19:50
a34;19.02.2016 20:54
a35;19.02.2016 21:26
a36;19.02.2016 21:58
a37;19.02.2016 22:52
a38;19.02.2016 23:34
a39;20.02.2016 0:33
a40;20.02.2016 0:54
a41;20.02.2016 1:15
a42;20.02.2016 2:19
a43;20.02.2016 3:07
a44;20.02.2016 3:23
a45;20.02.2016 4:22
a46;20.02.2016 5:15
a47;20.02.2016 5:53
a48;20.02.2016 6:41
a49;20.02.2016 7:07
a50;20.02.2016 8:06
a51;20.02.2016 8:38
a52;20.02.2016 9:05
a53;20.02.2016 9:21
a54;20.02.2016 9:42
a55;20.02.2016 10:35
a56;20.02.2016 11:07
a57;20.02.2016 12:06
a58;20.02.2016 13:10
a59;20.02.2016 13:58
a60;20.02.2016 14:51
e0;20.02.2016 15:23
e1;20.02.2016 16:27
e2;20.02.2016 16:59
e3;20.02.2016 17:42
e4;20.02.2016 18:08
e5;20.02.2016 19:12
e6;20.02.2016 19:28
e7;20.02.2016 20:16
e8;20.02.2016 21:15
e9;20.02.2016 21:36
;
;
;tr5
b15;18.02.2016 22:04
b16;18.02.2016 22:31
b17;18.02.2016 22:58
b18;18.02.2016 23:19
b19;18.02.2016 23:46
b20;19.02.2016 0:39
b21;19.02.2016 1:22
b22;19.02.2016 2:04
b23;19.02.2016 2:58
b24;19.02.2016 3:19
b25;19.02.2016 3:40
b26;19.02.2016 4:28
b27;19.02.2016 5:00
b28;19.02.2016 5:38
b29;19.02.2016 6:10
;
;
;tr50
b10;19.02.2016 2:58
b9;19.02.2016 3:40
b8;19.02.2016 4:23
b7;19.02.2016 5:22
b6;19.02.2016 5:48
b5;19.02.2016 6:15
b4;19.02.2016 7:19
b3;19.02.2016 8:12
b2;19.02.2016 8:49
b1;19.02.2016 9:11
b0;19.02.2016 10:04
a10;19.02.2016 11:03
a11;19.02.2016 11:29
a12;19.02.2016 12:07
a13;19.02.2016 12:49
a14;19.02.2016 13:11
a15;19.02.2016 13:53
a16;19.02.2016 14:09
a17;19.02.2016 14:41
a18;19.02.2016 15:29
a19;19.02.2016 15:56
a20;19.02.2016 16:44
a21;19.02.2016 17:42
a22;19.02.2016 18:14
a23;19.02.2016 18:30
a24;19.02.2016 19:13
a25;19.02.2016 19:40
a26;19.02.2016 20:17
a27;19.02.2016 20:38
a28;19.02.2016 20:54
a29;19.02.2016 21:37
a30;19.02.2016 22:36
a31;19.02.2016 23:24
a32;19.02.2016 23:56
a33;20.02.2016 0:17
a34;20.02.2016 1:21
a35;20.02.2016 1:53
a36;20.02.2016 2:25
a37;20.02.2016 3:18
a38;20.02.2016 4:01
a39;20.02.2016 4:59
a40;20.02.2016 5:21
d0;20.02.2016 6:03
d1;20.02.2016 6:25
d2;20.02.2016 7:02
d3;20.02.2016 8:01
d4;20.02.2016 8:54
;
;
;tr51
a0;19.02.2016 7:51
a1;19.02.2016 8:23
a2;19.02.2016 9:11
a3;19.02.2016 10:15
a4;19.02.2016 10:36
a5;19.02.2016 11:35
a6;19.02.2016 12:07
a7;19.02.2016 12:55
a8;19.02.2016 13:27
a9;19.02.2016 14:25
a10;19.02.2016 15:29
a11;19.02.2016 15:56
a12;19.02.2016 16:33
a13;19.02.2016 17:16
a14;19.02.2016 17:37
a15;19.02.2016 18:20
a16;19.02.2016 18:36
a17;19.02.2016 19:08
a18;19.02.2016 19:56
a19;19.02.2016 20:22
a20;19.02.2016 21:10
a21;19.02.2016 22:09
a22;19.02.2016 22:41
a23;19.02.2016 22:57
a24;19.02.2016 23:40
a25;20.02.2016 0:06
a26;20.02.2016 0:43
a27;20.02.2016 1:05
a28;20.02.2016 1:21
a29;20.02.2016 2:03
a30;20.02.2016 3:02
a31;20.02.2016 3:50
a32;20.02.2016 4:22
a33;20.02.2016 4:43
a34;20.02.2016 5:47
a35;20.02.2016 6:19
a36;20.02.2016 6:51
a37;20.02.2016 7:45
a38;20.02.2016 8:27
a39;20.02.2016 9:26
;
;
;tr52
a20;18.02.2016 22:31
a21;18.02.2016 23:30
a22;19.02.2016 0:02
a23;19.02.2016 0:18
a24;19.02.2016 1:00
a25;19.02.2016 1:27
a26;19.02.2016 2:04
a27;19.02.2016 2:26
a28;19.02.2016 2:42
a29;19.02.2016 3:24
a30;19.02.2016 4:23
a31;19.02.2016 5:11
a32;19.02.2016 5:43
a33;19.02.2016 6:04
a34;19.02.2016 7:08
a35;19.02.2016 7:40
a36;19.02.2016 8:12
a37;19.02.2016 9:05
a38;19.02.2016 9:48
a39;19.02.2016 10:47
a40;19.02.2016 11:08
a41;19.02.2016 11:29
a42;19.02.2016 12:33
a43;19.02.2016 13:21
a44;19.02.2016 13:37
a45;19.02.2016 14:36
a46;19.02.2016 15:29
a47;19.02.2016 16:06
a48;19.02.2016 16:54
a49;19.02.2016 17:21
;
;
;tr53
a30;18.02.2016 21:38
a31;18.02.2016 22:26
a32;18.02.2016 22:58
a33;18.02.2016 23:19
a34;19.02.2016 0:23
a35;19.02.2016 0:55
a36;19.02.2016 1:27
a37;19.02.2016 2:20
a38;19.02.2016 3:03
a39;19.02.2016 4:02
a40;19.02.2016 4:23
a41;19.02.2016 4:44
a42;19.02.2016 5:48
a43;19.02.2016 6:36
a44;19.02.2016 6:52
a45;19.02.2016 7:51
a46;19.02.2016 8:44
a47;19.02.2016 9:21
a48;19.02.2016 10:09
a49;19.02.2016 10:36
a50;19.02.2016 11:35
a51;19.02.2016 12:07
a52;19.02.2016 12:33
a53;19.02.2016 12:49
a54;19.02.2016 13:11
a55;19.02.2016 14:04
a56;19.02.2016 14:36
a57;19.02.2016 15:35
a58;19.02.2016 16:38
a59;19.02.2016 17:26
a60;19.02.2016 18:20
a61;19.02.2016 18:52
a62;19.02.2016 19:40
a63;19.02.2016 20:28
a64;19.02.2016 21:32
a65;19.02.2016 22:09
a66;19.02.2016 22:57
a67;19.02.2016 23:29
a68;19.02.2016 23:56
a69;20.02.2016 0:22
;
;
;tr54
b0;19.02.2016 0:28
b1;19.02.2016 1:22
b2;19.02.2016 1:43
b3;19.02.2016 2:20
b4;19.02.2016 3:14
b5;19.02.2016 4:18
b6;19.02.2016 4:44
b7;19.02.2016 5:11
b8;19.02.2016 6:10
b9;19.02.2016 6:52
b10;19.02.2016 7:35
b11;19.02.2016 8:33
b12;19.02.2016 8:55
b13;19.02.2016 9:27
b14;19.02.2016 9:59
b15;19.02.2016 10:25
b16;19.02.2016 10:52
b17;19.02.2016 11:19
b18;19.02.2016 11:40
b19;19.02.2016 12:07
b20;19.02.2016 13:00
b21;19.02.2016 13:43
b22;19.02.2016 14:25
b23;19.02.2016 15:19
b24;19.02.2016 15:40
b25;19.02.2016 16:01
b26;19.02.2016 16:49
b27;19.02.2016 17:21
b28;19.02.2016 17:58
b29;19.02.2016 18:30
;
;
;tr55
b10;18.02.2016 23:40
b11;19.02.2016 0:39
b12;19.02.2016 1:00
b13;19.02.2016 1:32
b14;19.02.2016 2:04
b15;19.02.2016 2:31
b16;19.02.2016 2:58
b17;19.02.2016 3:24
b18;19.02.2016 3:46
b19;19.02.2016 4:12
;
;
;tr56
b15;18.02.2016 21:11
b16;18.02.2016 21:38
b17;18.02.2016 22:04
b18;18.02.2016 22:26
b19;18.02.2016 22:52
b20;18.02.2016 23:46
b21;19.02.2016 0:28
b22;19.02.2016 1:11
b23;19.02.2016 2:04
b24;19.02.2016 2:26
b25;19.02.2016 2:47
b26;19.02.2016 3:35
b27;19.02.2016 4:07
b28;19.02.2016 4:44
b29;19.02.2016 5:16
;
;
;tr57
c0;19.02.2016 0:44
c1;19.02.2016 1:22
c2;19.02.2016 1:43
c3;19.02.2016 2:20
c4;19.02.2016 2:42
c5;19.02.2016 3:03
c6;19.02.2016 3:30
c7;19.02.2016 4:34
c8;19.02.2016 5:16
c9;19.02.2016 5:38
c10;19.02.2016 6:04
c11;19.02.2016 7:03
c12;19.02.2016 7:51
c13;19.02.2016 8:33
c14;19.02.2016 9:37
;
;
;tr58
c0;18.02.2016 22:58
c1;18.02.2016 23:35
c2;18.02.2016 23:56
c3;19.02.2016 0:34
c4;19.02.2016 0:55
c5;19.02.2016 1:16
c6;19.02.2016 1:43
c7;19.02.2016 2:47
c8;19.02.2016 3:30
c9;19.02.2016 3:51
c10;19.02.2016 4:18
c11;19.02.2016 5:16
c12;19.02.2016 6:04
c13;19.02.2016 6:47
c14;19.02.2016 7:51
c15;19.02.2016 8:12
c16;19.02.2016 9:05
c17;19.02.2016 9:48
c18;19.02.2016 10:20
c19;19.02.2016 11:19
c20;19.02.2016 12:07
c21;19.02.2016 12:28
c22;19.02.2016 13:11
c23;19.02.2016 13:59
c24;19.02.2016 14:36
;
;
;tr59
c20;18.02.2016 22:04
c21;18.02.2016 22:26
c22;18.02.2016 23:08
c23;18.02.2016 23:56
c24;19.02.2016 0:34
;
;
;tr6
c0;19.02.2016 1:11
c1;19.02.2016 1:48
c2;19.02.2016 2:10
c3;19.02.2016 2:47
c4;19.02.2016 3:08
c5;19.02.2016 3:30
c6;19.02.2016 3:56
c7;19.02.2016 5:00
c8;19.02.2016 5:43
c9;19.02.2016 6:04
c10;19.02.2016 6:31
c11;19.02.2016 7:29
c12;19.02.2016 8:17
c13;19.02.2016 9:00
c14;19.02.2016 10:04
;
;
;tr60
d0;18.02.2016 20:45
d1;18.02.2016 21:06
d2;18.02.2016 21:43
d3;18.02.2016 22:42
d4;18.02.2016 23:35
d5;19.02.2016 0:23
d6;19.02.2016 1:06
d7;19.02.2016 1:48
d8;19.02.2016 2:20
d9;19.02.2016 2:58
d10;19.02.2016 3:56
d11;19.02.2016 4:18
d12;19.02.2016 4:39
d13;19.02.2016 5:16
d14;19.02.2016 5:48
d15;19.02.2016 6:10
d16;19.02.2016 6:57
d17;19.02.2016 7:13
d18;19.02.2016 8:12
d19;19.02.2016 9:11
d20;19.02.2016 9:48
d21;19.02.2016 10:25
d22;19.02.2016 11:13
d23;19.02.2016 12:12
d24;19.02.2016 12:49
;
;
;tr61
d20;18.02.2016 22:31
d21;18.02.2016 23:08
d22;18.02.2016 23:56
d23;19.02.2016 0:55
d24;19.02.2016 1:32
d25;19.02.2016 2:36
d26;19.02.2016 3:40
d27;19.02.2016 4:02
d28;19.02.2016 4:44
d29;19.02.2016 5:11
d30;19.02.2016 5:27
d31;19.02.2016 5:43
d32;19.02.2016 6:47
d33;19.02.2016 7:45
d34;19.02.2016 8:01
d35;19.02.2016 9:00
d36;19.02.2016 9:37
d37;19.02.2016 10:36
d38;19.02.2016 11:03
d39;19.02.2016 12:07
d40;19.02.2016 12:23
d41;19.02.2016 12:44
d42;19.02.2016 13:00
d43;19.02.2016 13:43
d44;19.02.2016 13:59
d45;19.02.2016 14:36
d46;19.02.2016 14:57
d47;19.02.2016 15:13
d48;19.02.2016 15:56
d49;19.02.2016 16:22
;
;
;tr62
d0;18.02.2016 23:51
d1;19.02.2016 0:12
d2;19.02.2016 0:50
d3;19.02.2016 1:48
d4;19.02.2016 2:42
d5;19.02.2016 3:30
d6;19.02.2016 4:12
d7;19.02.2016 4:55
d8;19.02.2016 5:27
d9;19.02.2016 6:04
d10;19.02.2016 7:03
d11;19.02.2016 7:24
;
;
;tr63
a0;19.02.2016 12:17
a1;19.02.2016 12:49
a2;19.02.2016 13:37
a3;19.02.2016 14:41
a4;19.02.2016 15:03
a5;19.02.2016 16:01
a6;19.02.2016 16:33
a7;19.02.2016 17:21
a8;19.02.2016 17:53
a9;19.02.2016 18:52
a10;19.02.2016 19:56
b0;19.02.2016 20:54
b1;19.02.2016 21:48
b2;19.02.2016 22:09
b3;19.02.2016 22:46
b4;19.02.2016 23:40
b5;20.02.2016 0:43
b6;20.02.2016 1:10
b7;20.02.2016 1:37
b8;20.02.2016 2:35
b9;20.02.2016 3:18
;
;
;tr64
a0;19.02.2016 9:11
a1;19.02.2016 9:43
a2;19.02.2016 10:31
a3;19.02.2016 11:35
a4;19.02.2016 11:56
a5;19.02.2016 12:55
a6;19.02.2016 13:27
a7;19.02.2016 14:15
a8;19.02.2016 14:47
a9;19.02.2016 15:45
a10;19.02.2016 16:49
a11;19.02.2016 17:16
a12;19.02.2016 17:53
a13;19.02.2016 18:36
a14;19.02.2016 18:57
a15;19.02.2016 19:40
a16;19.02.2016 19:56
a17;19.02.2016 20:28
a18;19.02.2016 21:16
a19;19.02.2016 21:42
a20;19.02.2016 22:30
c0;19.02.2016 22:57
c1;19.02.2016 23:34
c2;19.02.2016 23:56
c3;20.02.2016 0:33
c4;20.02.2016 0:54
c5;20.02.2016 1:15
c6;20.02.2016 1:42
;
;
;tr65
a0;19.02.2016 1:38
a1;19.02.2016 2:10
a2;19.02.2016 2:58
a3;19.02.2016 4:02
a4;19.02.2016 4:23
a5;19.02.2016 5:22
a6;19.02.2016 5:54
a7;19.02.2016 6:42
a8;19.02.2016 7:13
a9;19.02.2016 8:12
a10;19.02.2016 9:16
a11;19.02.2016 9:43
a12;19.02.2016 10:20
a13;19.02.2016 11:03
a14;19.02.2016 11:24
a15;19.02.2016 12:07
a16;19.02.2016 12:23
a17;19.02.2016 12:55
a18;19.02.2016 13:43
a19;19.02.2016 14:09
a20;19.02.2016 14:57
a21;19.02.2016 15:56
a22;19.02.2016 16:28
a23;19.02.2016 16:44
a24;19.02.2016 17:26
a25;19.02.2016 17:53
a26;19.02.2016 18:30
a27;19.02.2016 18:52
a28;19.02.2016 19:08
a29;19.02.2016 19:50
a30;19.02.2016 20:49
a31;19.02.2016 21:37
a32;19.02.2016 22:09
a33;19.02.2016 22:30
a34;19.02.2016 23:34
a35;20.02.2016 0:06
a36;20.02.2016 0:38
a37;20.02.2016 1:31
a38;20.02.2016 2:14
a39;20.02.2016 3:13
a40;20.02.2016 3:34
d0;20.02.2016 4:17
d1;20.02.2016 4:38
d2;20.02.2016 5:15
d3;20.02.2016 6:14
d4;20.02.2016 7:07
d5;20.02.2016 7:55
d6;20.02.2016 8:38
d7;20.02.2016 9:21
d8;20.02.2016 9:52
d9;20.02.2016 10:30
d10;20.02.2016 11:28
d11;20.02.2016 11:50
d12;20.02.2016 12:11
d13;20.02.2016 12:48
d14;20.02.2016 13:20
;
;
;tr66
a0;18.02.2016 20:45
a1;18.02.2016 21:17
a2;18.02.2016 22:04
a3;18.02.2016 23:08
a4;18.02.2016 23:30
a5;19.02.2016 0:28
a6;19.02.2016 1:00
a7;19.02.2016 1:48
a8;19.02.2016 2:20
a9;19.02.2016 3:19
a10;19.02.2016 4:23
a11;19.02.2016 4:50
a12;19.02.2016 5:27
a13;19.02.2016 6:10
a14;19.02.2016 6:31
a15;19.02.2016 7:13
a16;19.02.2016 7:29
a17;19.02.2016 8:01
a18;19.02.2016 8:49
a19;19.02.2016 9:16
a20;19.02.2016 10:04
a21;19.02.2016 11:03
a22;19.02.2016 11:35
a23;19.02.2016 11:51
a24;19.02.2016 12:33
a25;19.02.2016 13:00
a26;19.02.2016 13:37
a27;19.02.2016 13:59
a28;19.02.2016 14:15
a29;19.02.2016 14:57
a30;19.02.2016 15:56
a31;19.02.2016 16:44
a32;19.02.2016 17:16
a33;19.02.2016 17:37
a34;19.02.2016 18:41
a35;19.02.2016 19:13
a36;19.02.2016 19:45
a37;19.02.2016 20:38
a38;19.02.2016 21:21
a39;19.02.2016 22:20
a40;19.02.2016 22:41
a41;19.02.2016 23:02
a42;20.02.2016 0:06
a43;20.02.2016 0:54
a44;20.02.2016 1:10
a45;20.02.2016 2:09
a46;20.02.2016 3:02
a47;20.02.2016 3:39
a48;20.02.2016 4:27
a49;20.02.2016 4:54
a50;20.02.2016 5:53
a51;20.02.2016 6:25
a52;20.02.2016 6:51
a53;20.02.2016 7:07
a54;20.02.2016 7:29
a55;20.02.2016 8:22
a56;20.02.2016 8:54
a57;20.02.2016 9:52
a58;20.02.2016 10:56
a59;20.02.2016 11:44
a60;20.02.2016 12:38
e0;20.02.2016 13:10
e1;20.02.2016 14:14
e2;20.02.2016 14:46
e3;20.02.2016 15:28
e4;20.02.2016 15:55
e5;20.02.2016 16:59
e6;20.02.2016 17:15
e7;20.02.2016 18:03
e8;20.02.2016 19:01
e9;20.02.2016 19:23
;
;
;tr67
b10;19.02.2016 2:31
b9;19.02.2016 3:14
b8;19.02.2016 3:56
b7;19.02.2016 4:55
b6;19.02.2016 5:22
b5;19.02.2016 5:48
b4;19.02.2016 6:52
b3;19.02.2016 7:45
b2;19.02.2016 8:23
b1;19.02.2016 8:44
b0;19.02.2016 9:37
a10;19.02.2016 10:36
a11;19.02.2016 11:03
a12;19.02.2016 11:40
a13;19.02.2016 12:23
a14;19.02.2016 12:44
a15;19.02.2016 13:27
a16;19.02.2016 13:43
a17;19.02.2016 14:15
a18;19.02.2016 15:03
a19;19.02.2016 15:29
a20;19.02.2016 16:17
a21;19.02.2016 17:16
a22;19.02.2016 17:48
a23;19.02.2016 18:04
a24;19.02.2016 18:46
a25;19.02.2016 19:13
a26;19.02.2016 19:50
a27;19.02.2016 20:12
a28;19.02.2016 20:28
a29;19.02.2016 21:10
a30;19.02.2016 22:09
a31;19.02.2016 22:57
a32;19.02.2016 23:29
a33;19.02.2016 23:50
a34;20.02.2016 0:54
a35;20.02.2016 1:26
a36;20.02.2016 1:58
a37;20.02.2016 2:51
a38;20.02.2016 3:34
a39;20.02.2016 4:33
a40;20.02.2016 4:54
d0;20.02.2016 5:37
d1;20.02.2016 5:58
d2;20.02.2016 6:35
d3;20.02.2016 7:34
d4;20.02.2016 8:27
;
;
;tr68
a0;19.02.2016 8:17
a1;19.02.2016 8:49
a2;19.02.2016 9:37
a3;19.02.2016 10:41
a4;19.02.2016 11:03
a5;19.02.2016 12:01
a6;19.02.2016 12:33
a7;19.02.2016 13:21
a8;19.02.2016 13:53
a9;19.02.2016 14:52
a10;19.02.2016 15:56
a11;19.02.2016 16:22
a12;19.02.2016 17:00
a13;19.02.2016 17:42
a14;19.02.2016 18:04
a15;19.02.2016 18:46
a16;19.02.2016 19:02
a17;19.02.2016 19:34
a18;19.02.2016 20:22
a19;19.02.2016 20:49
a20;19.02.2016 21:37
a21;19.02.2016 22:36
a22;19.02.2016 23:08
a23;19.02.2016 23:24
a24;20.02.2016 0:06
a25;20.02.2016 0:33
a26;20.02.2016 1:10
a27;20.02.2016 1:31
a28;20.02.2016 1:47
a29;20.02.2016 2:30
a30;20.02.2016 3:29
a31;20.02.2016 4:17
a32;20.02.2016 4:49
a33;20.02.2016 5:10
a34;20.02.2016 6:14
a35;20.02.2016 6:46
a36;20.02.2016 7:18
a37;20.02.2016 8:11
a38;20.02.2016 8:54
a39;20.02.2016 9:52
;
;
;tr69
a20;18.02.2016 21:38
a21;18.02.2016 22:36
a22;18.02.2016 23:08
a23;18.02.2016 23:24
a24;19.02.2016 0:07
a25;19.02.2016 0:34
a26;19.02.2016 1:11
a27;19.02.2016 1:32
a28;19.02.2016 1:48
a29;19.02.2016 2:31
a30;19.02.2016 3:30
a31;19.02.2016 4:18
a32;19.02.2016 4:50
a33;19.02.2016 5:11
a34;19.02.2016 6:15
a35;19.02.2016 6:47
a36;19.02.2016 7:19
a37;19.02.2016 8:12
a38;19.02.2016 8:55
a39;19.02.2016 9:53
a40;19.02.2016 10:15
a41;19.02.2016 10:36
a42;19.02.2016 11:40
a43;19.02.2016 12:28
a44;19.02.2016 12:44
a45;19.02.2016 13:43
a46;19.02.2016 14:36
a47;19.02.2016 15:13
a48;19.02.2016 16:01
a49;19.02.2016 16:28
;
;
;tr7
c0;18.02.2016 20:18
c1;18.02.2016 20:55
c2;18.02.2016 21:17
c3;18.02.2016 21:54
c4;18.02.2016 22:15
c5;18.02.2016 22:36
c6;18.02.2016 23:03
c7;19.02.2016 0:07
c8;19.02.2016 0:50
c9;19.02.2016 1:11
c10;19.02.2016 1:38
c11;19.02.2016 2:36
c12;19.02.2016 3:24
c13;19.02.2016 4:07
c14;19.02.2016 5:11
c15;19.02.2016 5:32
c16;19.02.2016 6:26
c17;19.02.2016 7:08
c18;19.02.2016 7:40
c19;19.02.2016 8:39
c20;19.02.2016 9:27
c21;19.02.2016 9:48
c22;19.02.2016 10:31
c23;19.02.2016 11:19
c24;19.02.2016 11:56
;
;
;tr70
a30;18.02.2016 22:58
a31;18.02.2016 23:46
a32;19.02.2016 0:18
a33;19.02.2016 0:39
a34;19.02.2016 1:43
a35;19.02.2016 2:15
a36;19.02.2016 2:47
a37;19.02.2016 3:40
a38;19.02.2016 4:23
a39;19.02.2016 5:22
a40;19.02.2016 5:43
a41;19.02.2016 6:04
a42;19.02.2016 7:08
a43;19.02.2016 7:56
a44;19.02.2016 8:12
a45;19.02.2016 9:11
a46;19.02.2016 10:04
a47;19.02.2016 10:41
a48;19.02.2016 11:29
a49;19.02.2016 11:56
a50;19.02.2016 12:55
a51;19.02.2016 13:27
a52;19.02.2016 13:53
a53;19.02.2016 14:09
a54;19.02.2016 14:31
a55;19.02.2016 15:24
a56;19.02.2016 15:56
a57;19.02.2016 16:54
a58;19.02.2016 17:58
a59;19.02.2016 18:46
a60;19.02.2016 19:40
a61;19.02.2016 20:12
a62;19.02.2016 21:00
a63;19.02.2016 21:48
a64;19.02.2016 22:52
a65;19.02.2016 23:29
a66;20.02.2016 0:17
a67;20.02.2016 0:49
a68;20.02.2016 1:15
a69;20.02.2016 1:42
;
;
;tr71
b0;19.02.2016 6:47
b1;19.02.2016 7:40
b2;19.02.2016 8:01
b3;19.02.2016 8:39
b4;19.02.2016 9:32
b5;19.02.2016 10:36
b6;19.02.2016 11:03
b7;19.02.2016 11:29
b8;19.02.2016 12:28
b9;19.02.2016 13:11
b10;19.02.2016 13:53
b11;19.02.2016 14:52
b12;19.02.2016 15:13
b13;19.02.2016 15:45
b14;19.02.2016 16:17
b15;19.02.2016 16:44
b16;19.02.2016 17:10
b17;19.02.2016 17:37
b18;19.02.2016 17:58
b19;19.02.2016 18:25
b20;19.02.2016 19:18
b21;19.02.2016 20:01
b22;19.02.2016 20:44
b23;19.02.2016 21:37
b24;19.02.2016 21:58
b25;19.02.2016 22:20
b26;19.02.2016 23:08
b27;19.02.2016 23:40
b28;20.02.2016 0:17
b29;20.02.2016 0:49
;
;
;tr72
b10;19.02.2016 0:07
b11;19.02.2016 1:06
b12;19.02.2016 1:27
b13;19.02.2016 1:59
b14;19.02.2016 2:31
b15;19.02.2016 2:58
b16;19.02.2016 3:24
b17;19.02.2016 3:51
b18;19.02.2016 4:12
b19;19.02.2016 4:39
;
;
;tr73
b15;18.02.2016 22:58
b16;18.02.2016 23:24
b17;18.02.2016 23:51
b18;19.02.2016 0:12
b19;19.02.2016 0:39
b20;19.02.2016 1:32
b21;19.02.2016 2:15
b22;19.02.2016 2:58
b23;19.02.2016 3:51
b24;19.02.2016 4:12
b25;19.02.2016 4:34
b26;19.02.2016 5:22
b27;19.02.2016 5:54
b28;19.02.2016 6:31
b29;19.02.2016 7:03
;
;
;tr74
c0;19.02.2016 0:18
c1;19.02.2016 0:55
c2;19.02.2016 1:16
c3;19.02.2016 1:54
c4;19.02.2016 2:15
c5;19.02.2016 2:36
c6;19.02.2016 3:03
c7;19.02.2016 4:07
c8;19.02.2016 4:50
c9;19.02.2016 5:11
c10;19.02.2016 5:38
c11;19.02.2016 6:36
c12;19.02.2016 7:24
c13;19.02.2016 8:07
c14;19.02.2016 9:11
;
;
;tr75
c0;18.02.2016 22:04
c1;18.02.2016 22:42
c2;18.02.2016 23:03
c3;18.02.2016 23:40
c4;19.02.2016 0:02
c5;19.02.2016 0:23
c6;19.02.2016 0:50
c7;19.02.2016 1:54
c8;19.02.2016 2:36
c9;19.02.2016 2:58
c10;19.02.2016 3:24
c11;19.02.2016 4:23
c12;19.02.2016 5:11
c13;19.02.2016 5:54
c14;19.02.2016 6:57
c15;19.02.2016 7:19
c16;19.02.2016 8:12
c17;19.02.2016 8:55
c18;19.02.2016 9:27
c19;19.02.2016 10:25
c20;19.02.2016 11:13
c21;19.02.2016 11:35
c22;19.02.2016 12:17
c23;19.02.2016 13:05
c24;19.02.2016 13:43
;
;
;tr76
c20;18.02.2016 21:38
c21;18.02.2016 21:59
c22;18.02.2016 22:42
c23;18.02.2016 23:30
c24;19.02.2016 0:07
;
;
;tr77
d0;18.02.2016 22:04
d1;18.02.2016 22:26
d2;18.02.2016 23:03
d3;19.02.2016 0:02
d4;19.02.2016 0:55
d5;19.02.2016 1:43
d6;19.02.2016 2:26
d7;19.02.2016 3:08
d8;19.02.2016 3:40
d9;19.02.2016 4:18
d10;19.02.2016 5:16
d11;19.02.2016 5:38
d12;19.02.2016 5:59
d13;19.02.2016 6:36
d14;19.02.2016 7:08
d15;19.02.2016 7:29
d16;19.02.2016 8:17
d17;19.02.2016 8:33
d18;19.02.2016 9:32
d19;19.02.2016 10:31
d20;19.02.2016 11:08
d21;19.02.2016 11:45
d22;19.02.2016 12:33
d23;19.02.2016 13:32
d24;19.02.2016 14:09
;
;
;tr78
d20;18.02.2016 20:18
d21;18.02.2016 20:55
d22;18.02.2016 21:43
d23;18.02.2016 22:42
d24;18.02.2016 23:19
d25;19.02.2016 0:23
d26;19.02.2016 1:27
d27;19.02.2016 1:48
d28;19.02.2016 2:31
d29;19.02.2016 2:58
d30;19.02.2016 3:14
d31;19.02.2016 3:30
d32;19.02.2016 4:34
d33;19.02.2016 5:32
d34;19.02.2016 5:48
d35;19.02.2016 6:47
d36;19.02.2016 7:24
d37;19.02.2016 8:23
d38;19.02.2016 8:49
d39;19.02.2016 9:53
d40;19.02.2016 10:09
d41;19.02.2016 10:31
d42;19.02.2016 10:47
d43;19.02.2016 11:29
d44;19.02.2016 11:45
d45;19.02.2016 12:23
d46;19.02.2016 12:44
d47;19.02.2016 13:00
d48;19.02.2016 13:43
d49;19.02.2016 14:09
;
;
;tr79
d0;19.02.2016 1:11
d1;19.02.2016 1:32
d2;19.02.2016 2:10
d3;19.02.2016 3:08
d4;19.02.2016 4:02
d5;19.02.2016 4:50
d6;19.02.2016 5:32
d7;19.02.2016 6:15
d8;19.02.2016 6:47
d9;19.02.2016 7:24
d10;19.02.2016 8:23
d11;19.02.2016 8:44
;
;
;tr8
c20;18.02.2016 21:11
c21;18.02.2016 21:33
c22;18.02.2016 22:15
c23;18.02.2016 23:03
c24;18.02.2016 23:40
;
;
;tr80
a0;19.02.2016 14:04
a1;19.02.2016 14:36
a2;19.02.2016 15:24
a3;19.02.2016 16:28
a4;19.02.2016 16:49
a5;19.02.2016 17:48
a6;19.02.2016 18:20
a7;19.02.2016 19:08
a8;19.02.2016 19:40
a9;19.02.2016 20:38
a10;19.02.2016 21:42
b0;19.02.2016 22:41
b1;19.02.2016 23:34
b2;19.02.2016 23:56
b3;20.02.2016 0:33
b4;20.02.2016 1:26
b5;20.02.2016 2:30
b6;20.02.2016 2:57
b7;20.02.2016 3:23
b8;20.02.2016 4:22
b9;20.02.2016 5:05
;
;
;tr81
